track,variant_id,run_group,feature_bundle,max_lag,proxy_perturbation,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,test_mae_mean,test_mae_std,test_mae_min,test_mae_max,test_r2_mean,test_r2_std,test_r2_min,test_r2_max,test_kstar_std_mean,test_kstar_std_std,test_kstar_std_min,test_kstar_std_max,test_kstar_proxy_spearman_adjusted_rho_mean,test_kstar_proxy_spearman_adjusted_rho_std,test_kstar_proxy_spearman_adjusted_rho_min,test_kstar_proxy_spearman_adjusted_rho_max,test_kstar_proxy_mean_spearman_adjusted_rho_mean,test_kstar_proxy_mean_spearman_adjusted_rho_std,test_kstar_proxy_mean_spearman_adjusted_rho_min,test_kstar_proxy_mean_spearman_adjusted_rho_max,test_lag_gate_sensitivity_range_mean,test_lag_gate_sensitivity_range_std,test_lag_gate_sensitivity_range_min,test_lag_gate_sensitivity_range_max,test_omega_entropy_mean_mean,test_omega_entropy_mean_std,test_omega_entropy_mean_min,test_omega_entropy_mean_max,run_count,seed_count
capacity_gate_grid,grid_fullspan_d16_temp15_dropout015,CMDL,single_fullspan_region_proxy,3,none,10.556847164581928,,10.556847164581928,10.556847164581928,3.2092540806957652,,3.2092540806957652,3.2092540806957652,0.0,,0.0,0.0,0.028188715782218834,,0.028188715782218834,0.028188715782218834,0.3701298701298701,,0.3701298701298701,0.3701298701298701,0.774025974025974,,0.774025974025974,0.774025974025974,0.08076238632202148,,0.08076238632202148,0.08076238632202148,0.9656578309691414,,0.9656578309691414,0.9656578309691414,1,1
capacity_gate_grid,grid_fullspan_d16_temp15_dropout015_entropy001,CMDL,single_fullspan_region_proxy,3,none,10.556847164581928,,10.556847164581928,10.556847164581928,3.2092540806957652,,3.2092540806957652,3.2092540806957652,0.0,,0.0,0.0,0.028188715782218834,,0.028188715782218834,0.028188715782218834,0.3701298701298701,,0.3701298701298701,0.3701298701298701,0.774025974025974,,0.774025974025974,0.774025974025974,0.08076238632202148,,0.08076238632202148,0.08076238632202148,0.9656578309691414,,0.9656578309691414,0.9656578309691414,1,1
capacity_gate_grid,grid_fullspan_d16_temp15_dropout030,CMDL,single_fullspan_region_proxy,3,none,10.555198637880613,,10.555198637880613,10.555198637880613,3.208977557245701,,3.208977557245701,3.208977557245701,0.0,,0.0,0.0,0.02819281379234864,,0.02819281379234864,0.02819281379234864,0.3701298701298701,,0.3701298701298701,0.3701298701298701,0.774025974025974,,0.774025974025974,0.774025974025974,0.0807795524597168,,0.0807795524597168,0.0807795524597168,0.9656576289374573,,0.9656576289374573,0.9656576289374573,1,1
capacity_gate_grid,grid_fullspan_d16_temp20_dropout015,CMDL,single_fullspan_region_proxy,3,none,10.555379526805567,,10.555379526805567,10.555379526805567,3.2089913222524853,,3.2089913222524853,3.2089913222524853,0.0,,0.0,0.0,0.02077965404261413,,0.02077965404261413,0.02077965404261413,0.3701298701298701,,0.3701298701298701,0.3701298701298701,0.774025974025974,,0.774025974025974,0.774025974025974,0.059632301330566406,,0.059632301330566406,0.059632301330566406,1.018169587384391,,1.018169587384391,1.018169587384391,1,1
capacity_gate_grid,grid_fullspan_d32_temp10_dropout015,CMDL,single_fullspan_region_proxy,3,none,14.17099744268876,,14.17099744268876,14.17099744268876,3.740344708874112,,3.740344708874112,3.740344708874112,0.0,,0.0,0.0,0.1913937116025758,,0.1913937116025758,0.1913937116025758,0.32857142857142857,,0.32857142857142857,0.32857142857142857,0.7493506493506493,,0.7493506493506493,0.7493506493506493,0.5182318687438965,,0.5182318687438965,0.5182318687438965,0.8339556967142537,,0.8339556967142537,0.8339556967142537,1,1
capacity_gate_grid,grid_fullspan_d8_temp10_dropout005,CMDL,single_fullspan_region_proxy,3,none,8.088106037240621,,8.088106037240621,8.088106037240621,2.7908182385421934,,2.7908182385421934,2.7908182385421934,0.0,,0.0,0.0,0.017641190283644522,,0.017641190283644522,0.017641190283644522,0.3207792207792208,,0.3207792207792208,0.3207792207792208,0.7467532467532467,,0.7467532467532467,0.7467532467532467,0.04950380325317383,,0.04950380325317383,0.04950380325317383,0.8765312217977026,,0.8765312217977026,0.8765312217977026,1,1
falsification,falsification_noise_proxy_fullspan_k3,CMDL,single_fullspan_region_proxy,3,noise,14.167635875140505,,14.167635875140505,14.167635875140505,3.7399159863827722,,3.7399159863827722,3.7399159863827722,0.0,,0.0,0.0,0.2011043883952872,,0.2011043883952872,0.2011043883952872,-0.34935064935064936,,-0.34935064935064936,-0.34935064935064936,0.5220779220779221,,0.5220779220779221,0.5220779220779221,0.5015172958374023,,0.5015172958374023,0.5015172958374023,0.7889357132357413,,0.7889357132357413,0.7889357132357413,1,1
falsification,falsification_proxy_shuffle_fullspan_k3,CMDL,single_fullspan_region_proxy,3,shuffle,14.17047977536082,,14.17047977536082,14.17047977536082,3.7402356404160697,,3.7402356404160697,3.7402356404160697,0.0,,0.0,0.0,0.19282393938672124,,0.19282393938672124,0.19282393938672124,0.32857142857142857,,0.32857142857142857,0.32857142857142857,0.7493506493506493,,0.7493506493506493,0.7493506493506493,0.5207462310791016,,0.5207462310791016,0.5207462310791016,0.8327691799398338,,0.8327691799398338,0.8327691799398338,1,1
feature_subset,feature_subset_no_per_capita_overlap_k2,CMDL,multiseq_overlap_no_per_capita_region_proxy,2,none,37.07891831995231,,37.07891831995231,37.07891831995231,6.071909100526855,,6.071909100526855,6.071909100526855,0.0,,0.0,0.0,4.531091031977211e-06,,4.531091031977211e-06,4.531091031977211e-06,0.0,,-0.0,-0.0,0.0,,-0.0,-0.0,1.33514404296875e-05,,1.33514404296875e-05,1.33514404296875e-05,0.4742122315708911,,0.4742122315708911,0.4742122315708911,1,1
feature_subset,feature_subset_no_per_capita_overlap_k2,Plain LSTM,multiseq_overlap_no_per_capita_region_proxy,2,none,41.844953860625175,,41.844953860625175,41.844953860625175,6.448074039958772,,6.448074039958772,6.448074039958772,0.0,,0.0,0.0,0.17024208903691723,,0.17024208903691723,0.17024208903691723,-0.21797080441577862,,-0.21797080441577862,-0.21797080441577862,-0.020849381291944042,,-0.020849381291944042,-0.020849381291944042,,,,,0.60146692683306,,0.60146692683306,0.60146692683306,1,1
